trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,15,-8.390855076215924,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-97.97125546674825,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-123.01318259483945,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-309.90372428519,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,1,-133.05323549138157,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-63.31632555873904,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-14.88729528528698,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-4.253235950026299,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,16,10.995860209395026,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-49.710212167370194,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-91.03966972306465,"{0: 21, 1: 2, 2: 3, 3: 4, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-152.18544843977602,"{0: 26, 1: 2, 2: 2, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,8,2.9056410624885807,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,8,6.748561213611875,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-87.8172007709342,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-37.15179091839238,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-18.704478106915676,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-102.27439465190315,"{0: 23, 1: 1, 2: 1, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,10,-0.7550623403940311,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-49.11650524451331,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-17.59231162006231,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",20,0,-27.11026884391777,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-19.348800006467584,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-103.40879851892615,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,6,-40.071795290861395,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,28.970240438219513,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,27.326580193026608,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-46.09475560675012,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-14.246996400161686,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,9,18.808774289740363,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
