trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9985011244377109}",30,0,-112.17000190289635,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.997004495503373}",30,0,-111.0697657843675,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9955101098295706}",20,0,-9.860978185639073,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-43.96022144427222,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9925280548191384}",20,0,-80.63949223633652,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-136.41572661435353,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9895549325678993}",25,0,-237.8832649874877,"{0: 12, 1: 4, 2: 3, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9880717128619305}",30,0,-124.94607100148124,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9865907163177327}",20,0,-98.27809931333987,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9851119396030626}",30,0,-140.58159174807827,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9836353793906724}",20,0,-263.3162483509909,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 6}",0
12,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,0,-126.20351156677621,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9806888951886662}",25,0,-76.95340042700165,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9792189645694596}",25,0,-158.4008134060134,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9777512371933363}",20,0,-37.96310165014749,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.9762857097579093}",30,0,-248.91851323004826,"{0: 12, 1: 3, 2: 9, 3: 4, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9748223789657411}",25,0,-117.59334324858912,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
