trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98511193960306265}",25,0,-77.71372292814901,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.97044553354850815}",20,0,-60.73219960375207,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.95599748183309996}",25,0,-127.00370256088296,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.94176453358424872}",20,0,-131.5282601613195,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.92774348632855286}",30,0,-177.77209014194187,"{0: 17, 1: 4, 2: 4, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.91393118527122819}",20,0,-91.36885616860329,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.90032452258626561}",35,14,-93.42440240229325,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.88692043671715748}",35,0,-155.02486329081563,"{0: 23, 1: 6, 2: 1, 3: 3, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.87371591168803442}",25,0,-66.78866734308065,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.86070797642505781}",20,0,-25.733931737536164,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.84789370408791587}",35,0,-162.6182358870104,"{0: 20, 1: 5, 2: 6, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-135.23710861188812,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.82283465805601841}",20,0,-73.1425392455538,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.81058424597018708}",20,0,-119.95216849051518,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.79851621875937706}",30,0,-168.81140834963023,"{0: 15, 1: 4, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.78662786106655347}",20,0,-130.3744164824539,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.77491649796108097}",20,0,-12.949114504884376,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.76337949433685315}",25,0,-163.29354843881165,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.75201425431938262}",20,0,-127.03260671557489,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.74081822068171788}",30,0,-112.59370760946996,"{0: 23, 1: 3, 2: 0, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.72978887426905681}",20,0,-50.12096169477243,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.71892373343192617}",20,0,-104.81745971744563,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.70822035346779999}",25,0,-145.6511750362525,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.69767632607103103}",20,0,-41.75470576432496,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
