trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.61898777006272,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-165.60325289540717,"{0: 9, 1: 5, 2: 1, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9603999999999999}",20,0,-188.10464630806695,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,0,-84.98031557769417,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-105.56205545123734,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9039207967999999}",35,0,-266.79827459055025,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.8858423808639999}",25,0,-162.13650464013872,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.8681255332467199}",35,0,-88.62300262992387,"{0: 29, 1: 1, 2: 2, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8507630225817855}",25,0,-104.94881495873189,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8337477621301498}",35,0,-307.9331414931995,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,0,-66.13701120176889,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8007313507497958}",20,0,-57.26008013991748,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,0,-112.66840506255464,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7690223892601039}",30,6,-96.62736825181524,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.7536419414749017}",30,0,-168.09102266592114,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.7385691026454038}",25,0,-99.61057434559538,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7237977205924956}",25,16,3.5466459644701938,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,0,-52.86493890654785,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.6951353308570328}",25,0,-125.43689888097347,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.6812326242398921}",30,0,-147.55822754804748,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6676079717550942}",30,20,-53.79452448198173,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.6542558123199923}",20,5,-45.40559654877709,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.6411706960735924}",20,0,-66.00675352511267,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6283472821521207}",25,0,-45.336748957454404,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.6157803365090782}",25,0,-132.26846715974446,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.6034647297788966}",25,0,-99.87322602917519,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.5913954351833187}",25,9,-31.310977054141077,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.5795675264796523}",35,0,-96.94663160044065,"{0: 28, 1: 3, 2: 0, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.5679761759500592}",25,8,8.529213011646565,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.5566166524310581}",25,0,-113.62400957798602,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.5454843193824369}",25,0,-55.89508499771148,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,0,-37.506041298433615,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,6,-15.034141343440139,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.5134054775281945}",25,0,-71.11715565724631,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,13,-18.224189393504005,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.493074620618078}",20,14,10.315782759281666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.48321312820571644}",20,2,-39.55987908833345,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.4735488656416021}",35,2,-143.65276418066003,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 3}",1
39,False,"{'a': 0.5, 'e': 0.46407788832877006}",30,0,-6.368891370766773,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.4547963305621946}",30,15,-57.80655988574367,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.44570040395095073}",25,0,-49.63874661567239,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.4367863958719317}",25,10,-12.936362587703611,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.42805066795449304}",20,0,-23.628632022791376,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.41948965459540316}",20,0,-26.280600975270886,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,13,7.6841209553371534,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,0,15.172084619982344,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.3948203069879567}",20,7,-11.485800682647199,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.38692390084819756}",30,4,13.603668098510566,"{0: 23, 1: 1, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3791854228312336}",20,16,5.346375858896024,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3716017143746089}",30,20,-25.476150145939524,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.36416968008711675}",20,9,18.729608469137588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.3568862864853744}",20,0,-24.485288166797712,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
