trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.07566614229106,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.34002842701624,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,5,-93.29936383853357,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.6171045738018,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,18,-47.31214596534937,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.432941316515,"{0: 14, 1: 7, 2: 5, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-26.224754735381257,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.23304708944762,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.90162298538971,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.18250183455437,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.05774188792753,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.93636633864168,"{0: 11, 1: 1, 2: 10, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.28413025881355,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.30114967744103,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.96340035387627,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.0225398167974,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-38.455232263718955,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.6868909810238,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.35353515737994,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.88225476655408,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,11,-93.66719529032802,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,12,-71.56864471425877,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.06292830525983,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,11,-84.2499507707289,"{0: 6, 1: 3, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-22.0811522746546,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.11062507485518,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.56684609437087,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-175.05045366802642,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.64408810803624,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.51022578352664,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
